Category	CONCEPT	avg cosine	animacy	norm_fam	ln(word_freq)	word length	num_syllable
an_animal	beaver	0.045452865	y	4.05	1.098612289	6	2
an_insect	ant	0.045304991	y	7.55	2.564949357	3	1
a_weapon	shotgun	0.045275416	n	3	2.197224577	7	2
a_tool	wheelbarrow	0.045134935	n	5.4	0	11	3
an_animal	hare	0.044939002	y	3.25	0	4	1
an_animal	caterpillar	0.03442329	y	5.35	0.693147181	11	4
a_fruit	prune	0.034286506	n	5.15	0	5	1
a_plant	vine	0.034151571	n	5	2.48490665	4	1
a_fruit	coconut	0.034147874	n	5.35	2.302585093	7	3
a_miscellaneous_nonliving_thing	doorknob	0.033933457	n	8.85	1.098612289	8	2
a_food	cheese	0.033918669	n	8.25	2.197224577	6	1
a_vegetable	pumpkin	0.03387061	n	6.95	0.693147181	7	2
a_miscellaneous_nonliving_thing	pier	0.033733826	n	5.25	2.197224577	4	1
a_vegetable	yam	0.033558226	n	3.3	0	3	1
an_animal	mackerel	0.03345841	y	3.85	0.693147181	8	2
clothing	nightgown	0.03323475	n	6.2	0	9	2
a_musical_instrument	trumpet	0.033182994	n	4.2	1.945910149	7	2
a_food	bread	0.033040665	n	8.55	3.713572067	5	1
a_vehicle	ship	0.032981516	n	4.9	4.836281907	4	1
a_weapon	stone	0.032903882	n	7.4	4.248495242	5	1
a_tool	brush	0.032789279	n	8.7	1.791759469	5	1
an_animal	dolphin	0.032689464	y	3.85	1.609437912	7	2
a_musical_instrument	saxophone	0.032524954	n	4.85	1.386294361	9	3
clothing	dress	0.032426987	n	7.85	4.343805422	5	1
a_vehicle	van	0.03231793	n	8	3.465735903	3	1
a_musical_instrument	guitar	0.032292052	n	6.15	3.091042453	6	2
clothing	robe	0.032192237	n	7.4	2.302585093	4	1
a_miscellaneous_nonliving_thing	razor	0.032190388	n	7.85	2.708050201	5	2
an_appliance	kettle	0.032090573	n	7.8	1.098612289	6	2
a_miscellaneous_nonliving_thing	balloon	0.03184658	n	7.05	2.564949357	7	2
a_tool	shovel	0.031828096	n	6.45	2.079441542	6	2
a_fruit	cranberry	0.031824399	n	4.05	0	9	3
a_miscellaneous_nonliving_thing	banner	0.031794824	n	6.1	2.302585093	6	2
a_weapon	crossbow	0.031785582	n	3.35	0	8	2
